km,link,name,place,price,time,typ
11万公里,https://www.che168.com/dealer/285581/42322782.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,威志V5 2012款 1.5L 手动精英型,北京,1.38,2012年09月,手动 / 1.5L
7.8万公里,https://www.che168.com/dealer/123555/42407860.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,瑞风S5 2013款 1.8T 手动新锐版,北京,2.98,2014年01月,手动 / 1.8L
7万公里,https://www.che168.com/dealer/198369/42477274.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,领翔 2009款 2.0L AT GLS,北京,2.88,2010年02月,自动 / 2L
15.2万公里,https://www.che168.com/dealer/447160/42337385.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,马自达3(进口) 2008款 两厢 1.6豪华型,北京,2.80,2008年07月,自动 / 1.6L
13万公里,https://www.che168.com/dealer/483041/42186562.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,标致307 2010款 三厢 2.0L 自动豪华版,北京,2.78,2010年07月,自动 / 2L
11.5万公里,https://www.che168.com/dealer/285581/42433826.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,荣威350 2010款 350C 1.5L 自动迅逸版,北京,2.68,2010年10月,自动 / 1.5L
10万公里,https://www.che168.com/dealer/405129/42426838.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,阳光 2011款 1.5XL 手动豪华版,北京,2.68,2013年07月,手动 / 1.5L
9万公里,https://www.che168.com/dealer/198369/42446410.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,马自达6 2007款 2.0L 自动超豪华型,北京,2.60,2007年10月,自动 / 2L
4.35万公里,https://www.che168.com/dealer/470924/42472062.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,众泰T600 2016款 1.5T 手动精英型,北京,2.60,2016年12月,手动 / 1.5L
11万公里,https://www.che168.com/dealer/333134/42411596.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,世嘉 2009款 三厢 1.6L 自动时尚型,北京,2.60,2009年08月,自动 / 1.6L
